datetime,open,high,low,close,volume
2023-01-01 00:00:00+00:00,1200.0,1207.7871,1197.685,1205.472,86162.4876
2023-01-01 00:00:00+00:00,1200.0,1218.1216,1187.3504,1205.472,60433.2889
2023-01-01 01:00:00+00:00,1205.472,1206.8222,1202.6557,1204.0059,58169.5421
2023-01-01 01:00:00+00:00,1205.472,1206.0741,1203.4039,1204.0059,22932.2612
2023-01-01 02:00:00+00:00,1204.0059,1224.9822,1190.1794,1211.1557,22459.8241
2023-01-01 02:00:00+00:00,1204.0059,1228.3904,1186.7711,1211.1557,136175.4863
2023-01-01 03:00:00+00:00,1211.1557,1238.3218,1200.9057,1228.0719,166572.8235
2023-01-01 03:00:00+00:00,1211.1557,1228.6859,1210.5416,1228.0719,95655.5848
2023-01-01 04:00:00+00:00,1228.0719,1233.2323,1220.3501,1225.5105,46867.9929
2023-01-01 04:00:00+00:00,1228.0719,1228.6846,1224.8978,1225.5105,51116.1127
2023-01-01 05:00:00+00:00,1225.5105,1228.9625,1219.5027,1222.9547,51035.3721
2023-01-01 05:00:00+00:00,1225.5105,1232.4598,1216.0055,1222.9547,21836.1926
2023-01-01 06:00:00+00:00,1222.9547,1244.8983,1218.725,1240.6686,183862.8267
2023-01-01 06:00:00+00:00,1222.9547,1242.2209,1221.4025,1240.6686,222010.0905
2023-01-01 07:00:00+00:00,1240.6686,1252.6587,1237.4041,1249.3941,92124.2115
2023-01-01 07:00:00+00:00,1240.6686,1252.4595,1237.6032,1249.3941,32689.0103
2023-01-01 08:00:00+00:00,1249.3941,1250.8292,1242.6915,1244.1266,73684.5369
2023-01-01 08:00:00+00:00,1249.3941,1257.0903,1236.4304,1244.1266,34739.6402
2023-01-01 09:00:00+00:00,1244.1266,1271.6754,1222.7716,1250.3203,20768.1794
2023-01-01 09:00:00+00:00,1244.1266,1254.3569,1240.09,1250.3203,66020.5879
2023-01-01 10:00:00+00:00,1250.3203,1250.9429,1244.4949,1245.1174,24503.9685
2023-01-01 10:00:00+00:00,1250.3203,1252.6279,1242.8099,1245.1174,56604.0338
2023-01-01 11:00:00+00:00,1245.1174,1258.1346,1226.893,1239.9101,86310.1599
2023-01-01 11:00:00+00:00,1245.1174,1251.0314,1233.9962,1239.9101,62049.4017
2023-01-01 12:00:00+00:00,1239.9101,1247.7256,1234.8703,1242.6858,51755.146
2023-01-01 12:00:00+00:00,1239.9101,1244.0476,1238.5483,1242.6858,59245.9466
2023-01-01 13:00:00+00:00,1242.6858,1244.6709,1219.3417,1221.3268,106263.0756
2023-01-01 13:00:00+00:00,1242.6858,1248.1988,1215.8139,1221.3268,339820.7703
2023-01-01 14:00:00+00:00,1221.3268,1232.4258,1191.2912,1202.3901,69743.9221
2023-01-01 14:00:00+00:00,1221.3268,1223.3922,1200.3247,1202.3901,441481.7076
2023-01-01 15:00:00+00:00,1202.3901,1203.4324,1195.2697,1196.312,122522.1365
2023-01-01 15:00:00+00:00,1202.3901,1204.1343,1194.5679,1196.312,128047.8817
2023-01-01 16:00:00+00:00,1196.312,1197.2813,1184.4351,1185.4043,168869.0491
2023-01-01 16:00:00+00:00,1196.312,1208.0497,1173.6667,1185.4043,142798.5752
2023-01-01 17:00:00+00:00,1185.4043,1191.3128,1182.9297,1188.8382,79851.5832
2023-01-01 17:00:00+00:00,1185.4043,1203.6641,1170.5784,1188.8382,22581.6019
2023-01-01 18:00:00+00:00,1188.8382,1193.1829,1174.7757,1179.1204,142262.3284
2023-01-01 18:00:00+00:00,1188.8382,1199.6571,1168.3015,1179.1204,139753.4911
2023-01-01 19:00:00+00:00,1179.1204,1180.6799,1162.579,1164.1385,184190.2342
2023-01-01 19:00:00+00:00,1179.1204,1182.9946,1160.2643,1164.1385,86298.3785
2023-01-01 20:00:00+00:00,1164.1385,1189.5435,1154.3781,1179.7831,94524.431
2023-01-01 20:00:00+00:00,1164.1385,1182.3331,1161.5885,1179.7831,180156.0214
2023-01-01 21:00:00+00:00,1179.7831,1183.0323,1174.1628,1177.412,34163.9471
2023-01-01 21:00:00+00:00,1179.7831,1189.2901,1167.9049,1177.412,25614.1921
2023-01-01 22:00:00+00:00,1177.412,1180.3222,1175.2696,1178.1799,7313.5408
2023-01-01 22:00:00+00:00,1177.412,1180.4522,1175.1397,1178.1799,28924.3312
2023-01-01 23:00:00+00:00,1178.1799,1186.0354,1155.2229,1163.0784,73510.8449
2023-01-01 23:00:00+00:00,1178.1799,1192.8769,1148.3814,1163.0784,63799.3399
2023-01-02 00:00:00+00:00,1163.0784,1177.5601,1142.9055,1157.3872,28653.3017
2023-01-02 00:00:00+00:00,1163.0784,1164.4124,1156.0532,1157.3872,81719.4799
2023-01-02 01:00:00+00:00,1157.3872,1169.8638,1146.1219,1158.5985,19039.9103
2023-01-02 01:00:00+00:00,1157.3872,1171.4653,1144.5204,1158.5985,14589.3832
2023-01-02 02:00:00+00:00,1158.5985,1171.4676,1133.726,1146.5951,108105.9472
2023-01-02 02:00:00+00:00,1158.5985,1166.7975,1138.3961,1146.5951,65455.6905
2023-01-02 03:00:00+00:00,1146.5951,1156.1499,1141.0037,1150.5584,53834.0373
2023-01-02 03:00:00+00:00,1146.5951,1151.1337,1146.0198,1150.5584,40363.3188
2023-01-02 04:00:00+00:00,1150.5584,1163.219,1131.6831,1144.3437,99228.5492
2023-01-02 04:00:00+00:00,1150.5584,1163.607,1131.2951,1144.3437,98550.5826
2023-01-02 05:00:00+00:00,1144.3437,1145.8983,1139.8058,1141.3604,24770.5194
2023-01-02 05:00:00+00:00,1144.3437,1148.6871,1137.017,1141.3604,39692.5429
2023-01-02 06:00:00+00:00,1141.3604,1151.7673,1124.7774,1135.1843,51247.4562
2023-01-02 06:00:00+00:00,1141.3604,1142.0743,1134.4705,1135.1843,52289.2277
2023-01-02 07:00:00+00:00,1135.1843,1178.8673,1110.8034,1154.4864,83618.7002
2023-01-02 07:00:00+00:00,1135.1843,1155.2581,1134.4125,1154.4864,62675.099
2023-01-02 08:00:00+00:00,1154.4864,1158.8811,1149.9947,1154.3895,5285.9595
